,Country,Vaccinated,Deaths per Million,Total Deaths,Total Cases
0,World,4718849508,703,5539569,328072957
1,China,1263691000,3,4636,105087
2,India,910386043,349,486451,37380253
3,European Union,329880742,2078,929686,69467856
4,United States,248707432,2555,850605,65699947
5,Indonesia,176301989,521,144170,4271649
6,Brazil,167093156,2903,621327,23015128
7,Pakistan,101457925,128,29019,1328487
8,Japan,101216376,146,18429,1881481
9,Bangladesh,87092079,169,28144,1617711
10,Mexico,81916351,2313,301410,4368314
11,Vietnam,78563059,362,35609,2023546
12,Russia,74861326,2157,314838,10621410
13,Philippines,63744655,476,52907,3205396
14,Germany,62423260,1378,115654,8021339
15,Iran,60321108,1553,132075,6221033
16,Turkey,57253263,996,84758,10459094
17,France,53352671,1884,127033,14222100
18,United Kingdom,52097840,2230,152109,15253183
19,Thailand,51032649,313,21898,2308615
20,Italy,49457106,2337,141104,8706915
21,South Korea,44485593,123,6333,696032
22,Spain,40317861,1941,90759,8093036
23,Colombia,39170383,2555,130996,5543796
24,Argentina,39005575,2588,118040,7094865
25,Egypt,35914913,212,22148,400076
26,Canada,32076856,829,31572,2765668
27,Malaysia,26045409,970,31793,2808347
28,Saudi Arabia,25206693,252,8906,615430
29,Peru,24707462,6096,203376,2562534
30,Morocco,24701243,401,14976,1048653
31,Poland,22034108,2706,102305,4313036
32,Australia,20938457,104,2692,1786007
33,Myanmar,20816441,352,19302,533144
34,South Africa,19476136,1554,93364,3559292
35,Uzbekistan,19053693,44,1515,205085
36,Taiwan,18846087,35,851,17820
37,Venezuela,18393519,187,5380,455023
38,Chile,17473211,2050,39394,1876610
39,Sri Lanka,16200619,707,15211,596347
40,Ukraine,14993075,2410,104765,3936582
41,Nepal,14564533,391,11620,853738
42,Ecuador,14485362,1912,34206,602942
43,Cambodia,14308898,177,3015,120796
44,Netherlands,13342689,1236,21230,3577529
45,Nigeria,12391384,14,3103,250929
46,Cuba,10523876,736,8340,999193
47,Uganda,10410479,72,3411,158238
48,Mozambique,9921960,66,2127,219081
49,United Arab Emirates,9890572,219,2191,805248
50,Portugal,9540351,1898,19303,1884974
51,Ethiopia,9368633,60,7147,457322
52,Kazakhstan,9059198,963,18293,1146165
53,Belgium,9001700,2459,28612,2410731
54,Iraq,8801367,588,24247,2114313
55,Angola,8298224,54,1863,93694
56,Romania,8029230,3097,59240,1903428
